regiao,estado,municipio,votos_Bolsonaro,votos_Haddad
Nordeste,CE,MILHA,829,6894
Nordeste,PI,MILTON BRANDAO,936,3241
Centro-Oeste,GO,MIMOSO DE GOIAS,984,872
Sudeste,ES,MIMOSO DO SUL,7119,7031
Centro-Oeste,GO,MINACU,7944,6986
Nordeste,AL,MINADOR DO NEGRAO,591,2607
Sul,RS,MINAS DO LEAO,2678,1735
Sudeste,MG,MINAS NOVAS,2206,8750
Sudeste,MG,MINDURI,1326,763
Centro-Oeste,GO,MINEIROS,18443,11335
Sudeste,SP,MINEIROS DO TIETE,5035,1148
Norte,RO,MINISTRO ANDREAZZA,2840,1518
Sudeste,SP,MIRA ESTRELA,1110,569
Sudeste,MG,MIRABELA,2147,4509
Sudeste,SP,MIRACATU,6585,3274
Sudeste,RJ,MIRACEMA,7970,6033
Norte,TO,MIRACEMA DO TOCANTINS,3769,5913
Nordeste,MA,MIRADOR,1514,8886
Sul,PR,MIRADOR,650,821
Sudeste,MG,MIRADOURO,2403,3008
Sul,RS,MIRAGUAI,1292,1761
Sudeste,MG,MIRAI,3940,2871
Nordeste,CE,MIRAIMA,820,7162
Centro-Oeste,MS,MIRANDA,5626,7117
Nordeste,MA,MIRANDA DO NORTE,2209,8016
